topic,question_en,question_hi,option1_en,option1_hi,option2_en,option2_hi,option3_en,option3_hi,option4_en,option4_hi,correct,explanation_en,explanation_hi,exam_type_year
General Studies,"In a village, a local authority violates a person's fundamental right to equality. He wants to move the highest court directly for justice, without first approaching a lower court. Under which Article can he do this?",एक गाँव में स्थानीय प्राधिकरण एक व्यक्ति के समानता के मौलिक अधिकार का उल्लंघन करता है। वह पहले निचली अदालत में गए बिना सीधे सर्वोच्च न्यायालय जाना चाहता है। वह किस अनुच्छेद के तहत ऐसा कर सकता है?,Article 32,अनुच्छेद 32,Article 21,अनुच्छेद 21,Article 19,अनुच्छेद 19,Article 226,अनुच्छेद 226,0,"Article 32 gives citizens the right to move the Supreme Court directly for enforcement of Fundamental Rights, called the ""heart and soul"" of the Constitution.","अनुच्छेद 32 नागरिकों को मौलिक अधिकारों के प्रवर्तन हेतु सीधे सर्वोच्च न्यायालय जाने का अधिकार देता है, जिसे संविधान की 'आत्मा' कहा गया है।",
General Studies,"In a Gram Panchayat election, one-third of the total seats are compulsorily reserved for women. Which constitutional amendment introduced this provision?",एक ग्राम पंचायत चुनाव में कुल सीटों का एक-तिहाई भाग महिलाओं के लिए अनिवार्य रूप से आरक्षित है। यह प्रावधान किस संवैधानिक संशोधन द्वारा लाया गया?,74th Amendment,74वाँ संशोधन,61st Amendment,61वाँ संशोधन,42nd Amendment,42वाँ संशोधन,73rd Amendment,73वाँ संशोधन,3,"The 73rd Constitutional Amendment Act, 1992 established the Panchayati Raj system and mandated one-third reservation for women.","73वें संवैधानिक संशोधन अधिनियम, 1992 ने पंचायती राज व्यवस्था स्थापित की और महिलाओं के लिए एक-तिहाई आरक्षण अनिवार्य किया।",
General Studies,"During a 1922 protest, an angry mob set fire to a police station, killing several policemen inside. Shocked by this violence, Gandhi withdrew a nationwide movement. Which movement was this?","1922 में एक विरोध प्रदर्शन के दौरान गुस्साई भीड़ ने एक थाने में आग लगा दी, जिसमें कई पुलिसकर्मी मारे गए। इस हिंसा से आहत होकर गांधीजी ने एक राष्ट्रव्यापी आंदोलन वापस ले लिया। यह कौन सा आंदोलन था?",Civil Disobedience Movement,सविनय अवज्ञा आंदोलन,Non-Cooperation Movement,असहयोग आंदोलन,Khilafat Movement,खिलाफत आंदोलन,Quit India Movement,भारत छोड़ो आंदोलन,1,"This refers to the Chauri Chaura incident of February 1922, after which Gandhi withdrew the Non-Cooperation Movement.","यह फरवरी 1922 की चौरी-चौरा घटना है, जिसके बाद गांधीजी ने असहयोग आंदोलन वापस ले लिया था।",
General Studies,"Every monsoon, a heavily silt-laden river in northeast India overflows its banks and causes massive floods across Assam. Which river is this?","हर मानसून में, पूर्वोत्तर भारत की भारी गाद वाली एक नदी अपने किनारों से बाहर बहकर असम में भारी बाढ़ लाती है। यह कौन सी नदी है?",Krishna,कृष्णा,Godavari,गोदावरी,Narmada,नर्मदा,Brahmaputra,ब्रह्मपुत्र,3,"The Brahmaputra, known for heavy silt deposition and a wide braided channel, causes annual flooding in Assam.","ब्रह्मपुत्र नदी भारी गाद जमाव और चौड़े गुम्फित मार्ग के लिए जानी जाती है, जिससे असम में हर वर्ष बाढ़ आती है।",
General Studies,"A teacher keeps one potted plant in a dark cupboard and an identical one in sunlight for a week, giving both equal water. After a week, the plant kept in the dark turns pale yellow while the other stays healthy and green. Which process explains this?","एक शिक्षिका एक गमले के पौधे को अंधेरी अलमारी में और दूसरे समान पौधे को धूप में एक सप्ताह के लिए रखती है, दोनों को बराबर पानी देती है। एक सप्ताह बाद अंधेरे वाला पौधा पीला पड़ जाता है जबकि दूसरा हरा-भरा रहता है। यह किस प्रक्रिया के कारण है?",Osmosis,परासरण,Photosynthesis needs sunlight to form chlorophyll,प्रकाश-संश्लेषण के लिए क्लोरोफिल बनने हेतु सूर्य के प्रकाश की आवश्यकता,Respiration,श्वसन,Transpiration,वाष्पोत्सर्जन,1,"Without sunlight, plants cannot carry out photosynthesis or form chlorophyll, so leaves lose their green colour and turn pale (chlorosis).","सूर्य के प्रकाश के बिना पौधे प्रकाश-संश्लेषण या क्लोरोफिल नहीं बना पाते, इसलिए पत्तियाँ हरापन खोकर पीली पड़ जाती हैं।",
General Studies,A shallow water body near a city hosts thousands of migratory birds every winter and also helps recharge groundwater and control floods. Such an internationally recognized wetland is officially known as a:,एक शहर के पास स्थित एक उथला जलाशय हर सर्दी में हजारों प्रवासी पक्षियों को आश्रय देता है और भूजल पुनर्भरण व बाढ़ नियंत्रण में भी मदद करता है। ऐसे अंतरराष्ट्रीय स्तर पर मान्यता प्राप्त आर्द्रभूमि को क्या कहा जाता है?,Biosphere Reserve,जीवमंडल आरक्षित क्षेत्र,Wildlife Sanctuary,वन्यजीव अभयारण्य,National Park,राष्ट्रीय उद्यान,Ramsar Site,रामसर स्थल,3,Wetlands of international importance for biodiversity and water regulation are designated as Ramsar Sites under the Ramsar Convention.,जैव विविधता और जल विनियमन हेतु अंतरराष्ट्रीय महत्व की आर्द्रभूमियों को रामसर सम्मेलन के तहत रामसर स्थल घोषित किया जाता है।,
General Studies,"A teacher takes Class 3 students to the school garden and asks them to touch, smell and draw different leaves instead of only reading about leaves from the textbook. Which EVS pedagogical principle is being followed here?","एक शिक्षिका कक्षा 3 के बच्चों को स्कूल के बगीचे में ले जाकर पत्तियों को छूने, सूंघने और चित्र बनाने के लिए कहती है, बजाय केवल किताब से पढ़ाने के। यहाँ EVS की कौन सी शिक्षणशास्त्रीय (pedagogical) सिद्धांत अपनाई जा रही है?",Learning through direct experience with the environment,पर्यावरण के साथ प्रत्यक्ष अनुभव द्वारा सीखना,Rote memorization,रटकर याद करना,Textbook-centred teaching,पाठ्यपुस्तक-केंद्रित शिक्षण,Lecture method,व्याख्यान विधि,0,EVS pedagogy emphasises learning by direct observation and hands-on experience in the child's own environment rather than rote textbook learning.,"EVS शिक्षणशास्त्र बच्चे के अपने परिवेश में प्रत्यक्ष अवलोकन और व्यावहारिक अनुभव द्वारा सीखने पर बल देता है, न कि रटने पर।",
General Studies,"In a state, the constitutional machinery breaks down and the elected government fails to function as per the Constitution, so the Governor recommends imposing central rule in that state. Which Article of the Constitution is invoked here?","एक राज्य में संवैधानिक तंत्र विफल हो जाता है और निर्वाचित सरकार संविधान के अनुसार कार्य करने में असमर्थ रहती है, इसलिए राज्यपाल उस राज्य में केंद्रीय शासन लगाने की सिफारिश करता है। यहाँ संविधान का कौन सा अनुच्छेद लागू होता है?",Article 370,अनुच्छेद 370,Article 356,अनुच्छेद 356,Article 360,अनुच्छेद 360,Article 352,अनुच्छेद 352,1,Article 356 provides for the imposition of President's Rule when constitutional machinery in a state fails.,अनुच्छेद 356 राज्य में संवैधानिक तंत्र की विफलता की स्थिति में राष्ट्रपति शासन लगाने का प्रावधान करता है।,
General Studies,"A citizen regularly plants trees along a highway and cleans a local pond every weekend, saying it is his duty towards nature. Which part of the Constitution does his action reflect?","एक नागरिक नियमित रूप से राजमार्ग के किनारे पेड़ लगाता है और हर सप्ताहांत स्थानीय तालाब की सफाई करता है, यह कहते हुए कि यह प्रकृति के प्रति उसका कर्तव्य है। उसका यह कार्य संविधान के किस भाग को दर्शाता है?",Fundamental Duties,मौलिक कर्तव्य,Fundamental Rights,मौलिक अधिकार,Preamble,प्रस्तावना,Directive Principles of State Policy,राज्य के नीति निदेशक तत्व,0,Article 51A(g) of the Fundamental Duties requires every citizen to protect and improve the natural environment.,मौलिक कर्तव्यों के अनुच्छेद 51A(g) के अनुसार प्रत्येक नागरिक का कर्तव्य है कि वह प्राकृतिक पर्यावरण की रक्षा और सुधार करे।,
General Studies,Archaeologists excavating a site in Gujarat find a well-planned brick dockyard once used for maritime trade during the Indus Valley Civilisation. Which site is this?,गुजरात में एक स्थल की खुदाई में पुरातत्वविदों को सिंधु घाटी सभ्यता के समय समुद्री व्यापार हेतु उपयोग होने वाला सुनियोजित ईंटों का गोदी (dockyard) मिलता है। यह कौन सा स्थल है?,Lothal,लोथल,Mohenjodaro,मोहनजोदड़ो,Harappa,हड़प्पा,Kalibangan,कालीबंगन,0,"Lothal in Gujarat is famous for its well-planned artificial dockyard, indicating advanced maritime trade in the Indus Valley Civilisation.","गुजरात का लोथल अपने सुनियोजित कृत्रिम गोदी के लिए प्रसिद्ध है, जो सिंधु घाटी सभ्यता के उन्नत समुद्री व्यापार को दर्शाता है।",
General Studies,"Tamil Nadu receives most of its annual rainfall between October and December, unlike most other Indian states which get maximum rain in summer months. This is because Tamil Nadu lies in the path of the:","तमिलनाडु को अपनी अधिकांश वार्षिक वर्षा अक्टूबर से दिसंबर के बीच मिलती है, जबकि अधिकांश अन्य भारतीय राज्यों में गर्मी के महीनों में सबसे अधिक वर्षा होती है। ऐसा इसलिए है क्योंकि तमिलनाडु किसके मार्ग में स्थित है?",Western Disturbances,पश्चिमी विक्षोभ,Retreating (North-East) Monsoon,लौटता (उत्तर-पूर्वी) मानसून,Loo Winds,लू (गर्म हवाएँ),South-West Monsoon,दक्षिण-पश्चिम मानसून,1,"The Retreating or North-East Monsoon, active from October to December, brings most of Tamil Nadu's rainfall from the Bay of Bengal.","लौटता या उत्तर-पूर्वी मानसून, जो अक्टूबर से दिसंबर तक सक्रिय रहता है, बंगाल की खाड़ी से तमिलनाडु में अधिकांश वर्षा लाता है।",
General Studies,"After a workout, a person sweats heavily and feels cool as the sweat dries off the skin. Which physical process causes this cooling effect?","व्यायाम के बाद एक व्यक्ति को बहुत पसीना आता है और जैसे-जैसे त्वचा से पसीना सूखता है, उसे ठंडक महसूस होती है। यह ठंडक किस भौतिक प्रक्रिया के कारण होती है?",Condensation,संघनन,Melting,गलन,Sublimation,ऊर्ध्वपातन,Evaporation absorbs heat from the body,वाष्पीकरण शरीर से ऊष्मा अवशोषित करता है,3,"Evaporation of sweat absorbs latent heat from the skin, producing a cooling sensation on the body.","पसीने के वाष्पीकरण से त्वचा से गुप्त ऊष्मा अवशोषित होती है, जिससे शरीर को ठंडक का अनुभव होता है।",
General Studies,A bill dealing exclusively with taxation and government borrowing is introduced only in the Lok Sabha. The Rajya Sabha can merely suggest recommendations within 14 days but cannot reject or amend it. What type of bill is this?,"केवल कराधान और सरकारी उधार से संबंधित एक विधेयक केवल लोकसभा में पेश किया जाता है। राज्यसभा केवल 14 दिनों के भीतर सुझाव दे सकती है, लेकिन इसे अस्वीकार या संशोधित नहीं कर सकती। यह किस प्रकार का विधेयक है?",Constitutional Amendment Bill,संविधान संशोधन विधेयक,General Finance Bill,सामान्य वित्त विधेयक,Ordinary Bill,साधारण विधेयक,Money Bill,धन विधेयक,3,"Under Article 110, a Money Bill can be introduced only in the Lok Sabha, and the Rajya Sabha can only recommend changes, not reject or amend it.","अनुच्छेद 110 के तहत धन विधेयक केवल लोकसभा में पेश किया जा सकता है, और राज्यसभा केवल सुझाव दे सकती है, अस्वीकार या संशोधन नहीं कर सकती।",
General Studies,"While teaching about sources of water, a teacher first asks students to describe how their own families get and store water at home before introducing concepts like groundwater and reservoirs. This teaching approach reflects:","जल स्रोतों के बारे में पढ़ाते समय, एक शिक्षिका पहले बच्चों से पूछती है कि उनके परिवार घर में पानी कैसे प्राप्त और संग्रहीत करते हैं, उसके बाद भूजल और जलाशय जैसी अवधारणाएँ पेश करती है। यह शिक्षण दृष्टिकोण किसे दर्शाता है?","Moving from the known to the unknown, using the child's own experience","ज्ञात से अज्ञात की ओर बढ़ना, बच्चे के स्वयं के अनुभव का उपयोग करते हुए",Deductive teaching only,केवल निगमनात्मक शिक्षण,Textbook memorization only,केवल पाठ्यपुस्तक याद करना,Pure rote learning,विशुद्ध रटंत विधि,0,This reflects the constructivist EVS pedagogy principle of moving from known (child's own environment) to unknown (new scientific concepts).,"यह EVS की रचनावादी शिक्षणशास्त्रीय सिद्धांत को दर्शाता है, जिसमें ज्ञात (बच्चे का अपना परिवेश) से अज्ञात (नई वैज्ञानिक अवधारणाओं) की ओर बढ़ा जाता है।",
General Studies,Scientists observe a hole appearing over Antarctica each year that lets in harmful ultraviolet radiation. This is mainly caused by certain gases once widely used in refrigerators and aerosol sprays. Which phenomenon and gases are these?,वैज्ञानिकों को हर वर्ष अंटार्कटिका के ऊपर एक छिद्र दिखाई देता है जिससे हानिकारक पराबैंगनी विकिरण प्रवेश करता है। यह मुख्यतः उन गैसों के कारण होता है जो कभी रेफ्रिजरेटर और एरोसोल स्प्रे में व्यापक रूप से उपयोग होती थीं। यह कौन सी परिघटना और गैसें हैं?,Greenhouse effect caused by CO2,CO2 के कारण ग्रीनहाउस प्रभाव,Ozone layer depletion caused by CFCs,सीएफसी (CFCs) के कारण ओज़ोन परत का क्षरण,Acid rain caused by SO2,SO2 के कारण अम्लीय वर्षा,Global warming caused by methane,मीथेन के कारण वैश्विक तापन,1,"Chlorofluorocarbons (CFCs) released from refrigerants and aerosols destroy stratospheric ozone, creating the ozone hole over Antarctica.","रेफ्रिजरेंट और एरोसोल से निकलने वाले क्लोरोफ्लोरोकार्बन (CFCs) समताप मंडल की ओज़ोन को नष्ट कर देते हैं, जिससे अंटार्कटिका पर ओज़ोन छिद्र बनता है।",